Review
宣传写的云南产，实际从江西赣州寻乌发货，卖家解释是仓库在寻乌，我刚好是本地人，据了解寻乌也不少种鹰嘴桃的，大家自己猜测吧。包装简陋，和礼盒装相差甚远，盒子都是褶皱的。吃起来口感也就这样吧。。。
买的特大果，感觉还是婴儿桃，不是第一次买鹰嘴桃了，结果这次是酸的，感觉桃子还没有发育齐全就被摘下来买了，味道没有一点鹰嘴桃的样子，这是我第一次买东西给差评，
被商品名字忽悠文字游戏，又是云南，又是非连平，结果发货地是江西的，根本正宗不起来，脆是脆但一点都不甜。询问客服说发什么快递，说是京东跟顺丰，结果是中通，方方面面的忽悠。无语
2斤半规格有13个果，平均一个58克，标称140～180克，山姆大果，缩小3倍，什么是大果？？？？
桃子很小，不符合描述。不甜也不香，生的，没有一点鹰嘴桃的味道。难吃难吃难吃！
照骗，收到的货根本没有熟，青BB的还没有水果味，而且比楼下菜市场买的都小，一言难尽……差评不谢～
首先发货地介绍写云南，一看物流信息 tm 从赣州发的就知道不对，退货又不让退，到货一看果然不行，垃圾
图实不符个头小如鸭蛋
说是买一赠一，实际就一箱，后来联系客服也没回应
和宣传的不一样，到手是软的桃子，不是脆的
我买的130克，收到的果小，宣传是脆果，结果收到的软果，很不愉快的一次购物
又软又小，吃了一个，剩下的扔了。我在这个链接的评论区刷到了跟小红书很多问脆桃评论区一模一样的图，都是拿那一批图来骗人的，不再相信了🙃🙃
非常不负责的卖家，买了两箱鹰嘴桃，出现两个非常严重的问题其图为商家的发的货，这个水果叫鹰嘴桃吗？
下单超大果，到手变成中小果。
真尼玛差差差 小的要死和视频上的完全不符， 全是歪瓜劣枣的样子 丑死真他妈 谁买谁吃亏
视频里说好的190的巨无霸呢？？？
所谓的大果，真是颠覆了我对鹰嘴桃的好印象，收到的和视频中的完全不一样
这就是商家所谓的礼盒，这样的商家简直无语了，通过图片误导消费者。
奔着直播间脆甜买的，物流很快，第二天收到了，吃了一个不甜，还绵绵的，门了店家，叫放冰箱两天再吃就脆甜了，我不理解放冰箱后能脆，但是照做了，结果今天拿出来吃，比刚收到还要棉，又软，也不甜，吃个三个有烂的，也有物流摔伤的，总之三个都没吃到好的，失望了
买的大果，视频里显示很大，结果就这么大，还不及地摊上的小果大
说好 1个180g 其实才60g虚假宣传 难吃死了。三个都没190g
垃圾来的，骗人的，不要买！视频宣传180克+的果，发过来的却是110多120多130多的小果，没有一个超过140克的。向商家投诉，商家也不处理。而且发的物流贼慢，一箱水果4天才到，都不新鲜了。
收到果子有80%的果肉都是软绵的，不脆，跟宣传差异较大。水分是有。
