Review
真不错，小一点，也可以理解，但是这坏的比例也太大了！！！还没吃，不知道和我之前从当地买的是不是一样！
个头可以，口味较淡
根本没有鹰嘴桃的清甜的味道
买的中果但个头儿看起来很小，没有带秆，口感一般
这货真的让人无语，5斤就坏4个，也不是正宗连平鹰嘴桃！不会再在网上买水果了！
没什么味道，桃子也有点硬，感觉就是离桃子成熟还有些时间，摘得太早了。
口感很一般，不是正宗的鹰嘴桃，失败的购物体验
这次买的没有第一次的好，一共12个果，有6个果是坏的，外表看着好好的，发软的地方一打开里面就是坏的，如图。
寄来坏了两个还有蟑螂在里面没有味道、涩～我的天～还有一堆怎么办？都要丢掉了！
又小又生硬，没一点味道，还发苦，涩，难吃
烂果
不好吃 有点苦 不甜
网购生涯里 买过最差的东西 两箱坏果不说了， 已经全部赔付。我也不想再来给个差评。难吃 果子又丑。应该就是假货 买来送人的。真是丢死人了
个头小，还拿更小的来充数，也没有称是不是缺斤少两的，还一袋都烂得出水了，体验太差了，下次绝对不会再购买
讲真，不会再买了，又酸又涩
桃子太嫩了 个头不大
果子挺新鲜，但不甜，一点甜味都没有
个头好小啊，大部分是绿色的，不开心，那么相信京东的
差评！没有桃子味！没有一点甜味！像吃红薯一样！
太生了！
里面有烂桃子，照片为证
不好吃，好几个坏果，从里面开始烂。
好评都哪里来的？桃子不仅小，物流还慢
今天的又小又难吃，，，，。前天刚买，复购既然是这种质量😂😂
不是很好，收到称了一下，带包装一起2.25kg，果子基本都不熟，又青又硬
都没熟，挑了半天，一个带点红，然后还是没熟，肉还是青涩的，不甜，没法吃，放了芒果在箱子里，看过几天能不能熟吧
不够称，果子小个
小，品质不好
太小了，中果居然这么小
带箱都不足斤，其他还好
甜的少
一斤只有3个小桃子，还没吃
"不足斤,带箱都不够,其他还好"
好生的果，不够熟。口感脆，不算甜。
就是纸盒运送，估计是快递挤压导致，很多桃子都烂了
带箱2斤，实际收到果子重量800多克重（6个）😑
买的是买一赠一，到货6个桃，箱子被撕开了
不建议购入，因为不是硬桃，受运输条件和时间的影响，到手难以保证质量。
个头不大，一共4个，有一个坏了，不加红包需要三块多。成熟度高，桃子不脆偏软，口感甜中带酸。
